;UG;LOC;DA;TTAEF;TTAEM;TTREF;TTREM;TTABEF;TTABEM
105;Centro-Oeste;Total;Pública;97,7;92,5;2,0;6,2;0,3;1,3
106;Centro-Oeste;Urbana;Pública;97,7;92,6;2,0;6,2;0,3;1,2
107;Centro-Oeste;Rural;Pública;97,6;92,1;1,8;6,1;0,6;1,8
108;Rondônia;Total;Total;96,7;90,8;1,2;6,9;2,1;2,3
109;Rondônia;Urbana;Total;98,0;91,6;1,3;6,7;0,7;1,7
110;Rondônia;Rural;Total;88,8;78,6;1,0;9,2;10,2;12,2
111;Rondônia;Total;Federal;;85,2;;14,6;;0,2
112;Rondônia;Urbana;Federal;;88,2;;11,7;;0,1
113;Rondônia;Rural;Federal;;77,2;;22,4;;0,4
114;Rondônia;Total;Estadual;93,9;90,9;2,0;6,6;4,1;2,5
115;Rondônia;Urbana;Estadual;97,1;91,4;2,0;6,7;0,9;1,9
116;Rondônia;Rural;Estadual;38,7;73,8;0,9;3,4;60,4;22,8
117;Rondônia;Total;Municipal;98,9;;0,6;;0,5;
118;Rondônia;Urbana;Municipal;99,2;;0,5;;0,3;
119;Rondônia;Rural;Municipal;98,1;;1,0;;0,9;
120;Rondônia;Total;Privada;98,2;96,4;0,9;2,0;0,9;1,6
121;Rondônia;Urbana;Privada;98,1;97,3;0,9;2,4;1,0;0,3
122;Rondônia;Rural;Privada;99,5;92,5;0,2;0,3;0,3;7,2
123;Rondônia;Total;Pública;96,5;90,5;1,3;7,2;2,2;2,3
124;Rondônia;Urbana;Pública;98,0;91,2;1,3;7,0;0,7;1,8
125;Rondônia;Rural;Pública;88,3;75,2;1,0;11,4;10,7;13,4
126;Acre;Total;Total;96,2;86,0;2,0;10,7;1,8;3,3
127;Acre;Urbana;Total;95,9;83,3;2,5;13,5;1,6;3,2
128;Acre;Rural;Total;97,0;94,5;1,0;1,3;2,0;4,2
129;Acre;Total;Federal;100,0;97,1;0,0;1,2;0,0;1,7
130;Acre;Urbana;Federal;100,0;97,1;0,0;1,2;0,0;1,7
131;Acre;Total;Estadual;95,7;85,3;2,8;11,2;1,5;3,5
